index,moneyAmount,serialNumber,leftNumber1,rightNumber1,leftNumber2,rightNumber2,leftNumber3,rightNumber3,leftNumber4,rightNumber4,leftNumber5,rightNumber5,leftNumber6,rightNumber6,leftNumber7,rightNumber7,leftNumber8,rightNumber8,leftNumber9,rightNumber9,leftNumber10,rightNumber10,leftNumber11,rightNumber11,leftNumber12,rightNumber12,leftNumber13,rightNumber13,leftNumber14,rightNumber14,leftNumber15,rightNumber15
65,100,28523045,gYUnTeVGOfv5xBFpq6OZDEZmwERXxjlK4NKekAOyE8k=,Sn1VgUw0CNMuMDBEul7qsGMe4mcuI+fFhuwesNLhyzc=,wHnOBi9xS7H5qRr/muqVbo0lPA5ken+TDsz27f4iF9w=,mNP/+Dn4ywQEqUQqYROr+zz/wYltBEA+YwR7ppQ278w=,ZEzrsOvWE/KxzV1hqG4x6h/EqWI+j5oNmeauPv0vLXg=,KKG6AIvzZ4XKc1dRfcGIhr+BM4byFaCMTWo1wn+jdz4=,WoKQ4K9CCi3S4n18U/FNLKXSCAYoIt0c/bC/QK5xTMk=,a5i4Ig/NsINgb+zj105VhaDo4bhyh33k8XEyvNPMjOY=,im8HzPURolyArQ2brJN1fNIheXeQJc64/mnZ/ZOktqg=,GifqG47K2gvMQXbOq6Ey4C43PIh4BMGK/axdutALR00=,bZq53W/6B1JsdKZU4U5vPMlysyavrwa2zckAvRebHXw=,8At7nM1QsyLqzFn+01eQQzsQ8PqxSBi12uXG6ca5MpE=,AnYpYOs8g1ikZC8DwhcBtQ0MRcFmO2qJfuQhHIzLpYQ=,7tEW6eO52SBoGf1ReaVRkrPexi5n26wwbzb7RBzE9EQ=,OdoAKKaYYpcYZvVeHwTlJ3M58VOY39AsdDcqCvx8EkQ=,A2BgEuiBbNed68rKEpZG1HL59hVLrMu6spWHBiVF+ws=,oJflc9G9Syy3ymOMORUTRJu4Gk2xZOG+LK4Gh/W8/mo=,I6qzXd33k+16dDOBCxfUs61XHpZJvb0gcnX/0O3GyZI=,2vAKhJhU6st/odmGqXsl7+U5zUauecNx9UrQa8yg+IU=,R/vQ0CcaQQct5DsX1Gjj5oNe47rHU7nLBB44V88BQ28=,Q2p5sgZA9JZ7bew9CGwBRAW77Ox9WDOscdZvAH2fmpk=,o1gt3hkVGXtGVFlfFzY3lL+Y1vQis8txq3dPvmiehr0=,8Xx9rZvCTcWjBNCjqlOYefNrxsY1jw3LDQQtwNs5iDQ=,Tgpt2ks4g2wdiWbGjBThdFhZCbNUHCwtT4B819ex89I=,3EJUhwlcbovtn1qtRyd5hFQgMSuUN5Ug2JYrF/1jy+A=,Aq1saYCx5v4QGJv+ly9KhrfHVm7R0odUc70BRJHPVZE=,/CZ+T9bp6q2Wv1Mjj/ku8qNrcKDhbLtQy0lGsanW1IQ=,NFO0cyG9Rqe3n/uk33f/QnS2aQ523rDgL8S50Ll8QPY=,L5nnQQs1uYVPXAEj+6+XCp9uJWBTX4GXdHN+WALFfUI=,wTzeVjUIPLuPC+KN7o4t/y99U7iIhm0a3Rntl6uIc+s=
71,100,81685691,a1N4IaE32czdJxDfMlVuLmy3CnzKxxaTMHQ4nd2Zv88=,env19a3uNOTe41LYHxvpzZ8Jcj2HNckmQNd7XUIiwqg=,pDFX1HLWk4WXJ9oHLXT527LQ8+n3N2pcGeTVL3AEx7E=,iFXnpfaqWZ9MD0mKoF7NBL/asgQztSX9p+nqyALBPJk=,GQdJ2v3AzO9OrrFRYfmEoRM+thCb/v8bdANT1H2hRmE=,98TS7dIDOWWzY8A5P4vmSnXEtLen5T0R3tBuIdHrWkM=,9SvJs79A0XtFjLaDH063rQW8oKyCecQHm97mqhN4hsA=,wJePkRK5TQ/bkpfRDQpITFqEuFdPnQCkfmA+3ENdby4=,5zNKN3S1XMpa0C7EloLWgWO6FwK+rGdA+iy/ZIzoL5A=,B4H4crj+QnxsxU9xYD0XdRar+mBI1nFioTk6xnMuqlw=,lQwhVdjZX8pADrY6ZUAvK9+/t80SdHjTUrKIweoQSYY=,FsWwMGhvZdLPza4nYVnnHY4FV+AsMj5fcz8FipQZu3I=,GiVXA7l+kGySKxI8kj8e0XIDeATxaojCMp7aauDNJBU=,WzGrRDgQkDyRp3Mohdk/2ldWDjlOd8lkV1UkewHAN9s=,lQEbvrtZroOt5T5bAupd07/9zx10zsiE10lH6y0o5Pw=,+b/+Ax/BggxhKohpJe6bjhyqlq7LFUuBAvebaVPWu+w=,opecDv3zkOpJwbFK+OFcNOmJg6wT3fRXFsVJ3DkOYME=,LFxh1g2/6yZnUufY5/sA/p51en+G3PAxXL+7SL/ry2k=,r59JgSLQj2pzNOMRHs2GZIIusSWFhNIG26/2bZCxBDs=,qp2SUDDC0HHeGcEICY/VGLLz0+r/cWs4BSutJPOUsFg=,2ioXtYl4fyAOkrLkWCtPfhkBFNam0Ti4SmkN3e1rJvI=,dgRJcBRWIdMXn4ycqpBtlCSkqugcG2V/ZnD04w99TtA=,q+75HZtd+rjMmyXMbolB1xGdbDcMGif4BcbHW2DJG9c=,h/30nkhnIBY4qSwaZUha/FMH92TGPYQXe3yC9NZHXWo=,AeznGyri+79V1zz6+EDFT1uprp5ZQ+JTdAsATV7qjuc=,n03xB7bRUvXnoDVEssP3MU52bzpym+3TPGhTHJk53oA=,2EklySNMCAcgXGq6UZlw0weHaXz+kdLZZzCZxbxMVgk=,+y7Fa0GaJAdxF3b/EJ9vUnqrGm4cK7xSCRNtuTD3RZk=,SH1LBXkYfzJ93I7GutwVDGbwjGtv2BZMEL7geztH3yM=,/3K3gRHuMvc/iIvf1tCKt6QBAYamMRoqIeey8o8A4V0=
77,100,61109488,g84++6rKN6fn6zhbKMsp+aUvjgqqgMtVKack0G9Bo58=,sE6zJmqQSZTQl6XujiYwR67bFOWMOSXBpvJ/z6Ru1C4=,24TRIF+H7VqqnrZCYXIIvR6QlexSEhfDetUYjPNRouk=,1Xe5swi8r7tzvCmvjKZHHhJOai3rCh6Q0JvkxG8mK18=,I9BYiPmBBfzuHYx/WAe50XkekOLzZi0zFXhWpoFChqA=,EA86m/hQtHuMzRHL4HHzSUqiX+gul/Yo+xmtfdfHl/c=,WvaA7Gpd5HyxtDRzt3tTBo/ZX/G7sUz2FYB/D9+8+sQ=,IECKDD+TcfO5GvB0qSJs9UXME7fRRHb4nD9JRn4n7w8=,eIpwuwElXRxFibTwvF4RImlA+FgQk7Kpx9nbi0t6EAY=,z0gdzWKFEK4mXQwEaslLZTqHg1T6Xz2GS8nn2zWoLbY=,PUnimhALtXKHBe6MK3BKK3tb1zz/NFtTKJI0Cm4Mvgc=,wIcqzk4u2MtB6bsS6AhOlbw4FXPC4BAqL3/hwgrdurw=,UFpzyhN6vMazK3VIXjBnJzwWjs06weZSTdi/FF2EvKY=,9G8Cea9pWJ2nCmoDqrcf/wIbVxKwFdAqq7iluDthsYI=,njDTWi1C25Sacdq9SEyFOwRg5CwmiYzfXbEVSFZS56Y=,Rt709qpYQSOaPqoP9I9pMWd5ZkMuISA976CRafS6sZ4=,UZm9/QRQZnspvAS5BbBQt+PDoFjrOyexzI0ilhM4Vkw=,y2Vogr/xfFY1Ixfwxjbgmmz9eDDZh+srTSgK/p1hryU=,VuvrjHv8NVVk7u0t9KSliFUwRqzcLUvCPAIfjEZP6kU=,EtW29IbJFdt8Mww8Lvn/vBqvfar4d2T4mEpnm7cBVNY=,Awn3kbzeG1ixtoFfPyCMXteGOSVbux4KQmGWOU8wQqU=,cTcG+0xFtZyxTIooqgix6fWdvDNQd0TwmXvbK6AC908=,j39GJp+2S+UyU67xdmrT+hpYJrCfmMbPwFg5asGKlMs=,TjwBd24Zz9Y8YFJU4YYwz3PMZOvx3IPyGR9reiphrc0=,jPD9puthZC1AlaqiZbw+YmkIm2FFcsgKndzDdt842Gk=,p0AGO9l6J9JiguRXfumFslVi0UGr5tRkyEJJajXket0=,3gXdC0UtF0LUpir9LHRCMpjtnkFotNT6O/XO6TvzR80=,lH8A+Mn16g2XY3/BX4Q79LZVz0M1qlvpQBcca3ByolY=,XXBEa9cAGLM+XMQgw54sRV38KIVJlO0i9800+396csg=,iEywtuYbhbeB1gT2hKLY8BHyQJAv8aZukKlTLUG4AV0=
83,100,52027154,YKIE4KE2AJ3UX4Iq7uP3jzVDq4ekziTgVqOJjxPtG20=,9EqTa9HqREi/tIm/RNHYk4xgYHwmBRvv3l7fdkhHMp8=,2sLzwUaiTr7Md7EV+O1lI5qxrHCDpVL9orqr4xseI6c=,6Iifiw9ytuo1yA6Ae75uGXTPL402OzObvswJNHk/9ck=,5t7N6DlABOAdpcpKZPPNI+jAKlMFIgAvdwSTy8jSEks=,W9a5pCsj+G2tahQrEdneCb+oCtaCQv56wngAXZeshCI=,Ng2Oge00d8nJauoAfMuQH0XHrTtQILHl7bcD7dCF/rA=,xF9qDRYtSGqY/ImsUWFAqHf3g2YAWa4fmyAK12SYFZ4=,184BrSrtYaSrzEUcrd+lsESA30+O9YNFwJAMA9roQKQ=,Oq9cN1LbOOJU66IM3lVjBep9ZszLIBnap27NSqLt0RU=,g1yvBIj7dTB+o+AKiicBL+FbVJ2LyeXk69PYIPOcF40=,90AZf0mBAhjRUxK6mGk3EWrdX+z+4RvMf8TeJdKU+7E=,sewF+Qh4ffGmtrCNk1UXeScNgJIYm6/o5Xx9S7RTxi4=,1Berh5GftooAxNoeSSLb2BGghj02d4NiZCswzBtsRww=,Dob717Ganobr+/1nuVe+IrnwFVC8P1IEhswsWleAypE=,/zDZqeLhYLP05x7/pog6KiH/No/Wp+5ZhfGAHM+e6PQ=,eJYvcRvvO0HDIMLPXBI0LK7mlhRoxqB5TCbrm5Tn3/8=,5CgKTEQbtp4pHsw+ouBvAKM18/1ay7Kqa+LhnaugD0w=,ApZNzDfVj2Z93VMMYAjKEJDhWpKybkgFDB1rCIac8LM=,8uTn2g39nfsw0gXS3xdeSIwX5VLBxVZwVIhu7auEEEw=,OcPdTJt0ssB2zKMKHrKJ13XG1VWJbauDaCRwbEdaomU=,MIVY8gKT46AZp0Qdyg/Z/q0dK8LRUPcWuIs8GovUxPw=,7x6uG5glam+FAsbsC8s9I5EpNPFoPlL5xkI5pOnftwM=,6Qb6W6Lh/W5OAil1xa8yPc3f+CUdZkqstQgivfJX+5o=,N8jBiQ47dturouRr3O6NqJXkZVZOHrJGeP1fn7qjAqU=,mr3WFcH5h9M3Qudyr5UNjOpMZLZsv1ohVYuscy3J+po=,xgtW+4Q+XP8nH8Ie/C03Cg8cpvCi+Ew+8W/jhWOSYfQ=,P9WTRaW1AUPk21aGdtxmIV9V2bPcS6+O/8RZ1mx5hGk=,rm4OQ9fr5Xh3Kezc2sPvRSlZJVLARW3RuUOnBY6Z1wU=,v5+BAiCHbROoQIEneUSEbh676/MPUJdaSGnBWAig6KU=
89,100,99273090,mQGPTFIi8R9U5rfHUkVPQQsSTGSvlspsL+cf7S+x1/k=,awonUwFn6v1Kg3HcocLr/WVC3+hIJGtdElnp4QnAxHE=,P5wItfwjeLB2s5lafmub66mEoSDG6M9SbOdsxzKVQCw=,HhfF+m4IawVEYlK2bnT9zB1sDEp5sAg0HcB/nukrzic=,38zk2XnT1bnEnH9sjE1SD282N5GzrIp3f1WbVM2nRZM=,xbIKwKwdz3/7Hf04No08dP0EYSqh4iJpVVEnoeoNRb0=,U888iCtPSYZJ1JGCmCajeW98jOGLE7j4MVNWZZA9E3M=,uOY4n2XkYLgAu5WCQeUppEgQTHrbdrFT0ljMjvAu9Tw=,1fUlkVah//bFGip0eK2PX6aEXcpbIOdxyYYcGe+Cp1w=,5lvnfhF5NeoL99aIITsulLRYOv/T/YQL9s7pLMk6KoY=,CwXyrhylcdcw6SUCDcLRKrIN3Nn92tya68B6D7b7k/M=,ljVq9Z3nJmJk2vXEaTMJ4s2rexcLSYqqCiGjbuGMh4o=,dP8NnhPVXPHLKKOL6t5f6iApSu+pmPFKTzu7QYSRT1w=,N4es9CIfa1ZBf/fMmAKU4Rh5DSaekiYC9wFM9kxDkGc=,xzg9gsn8lhLWjL8z5W/GxoM8BZ+GiZv/ThIP5Saf6ak=,Z3xdsLLaquPgUYdaTtpDj1WoQaa0jIqq6NlN4TIIobM=,YrW/T9F1di7/CFxzfE/CX3SHO65Pc8EIlk8/T4kpz6I=,GnpZMnjbwJxph2EngSmS6RoArpwznbhZ/LkEeKVJ46w=,FOBd9Hx7GPAqxEeJW3lpHIecbmB+We1u4jgtfUw0uXI=,rlPqbkS67vnxJX/a4ioi0bzcB/7xpt7QE5MSD55iy2w=,pVTvStyQZOWwmYrB5eKKZT2IJw66wRHi/pKhG0Ov3Uo=,yAA8Krwx2/e2sZh4XVqeeF6Tp0l28Wwt/921/0EOFrs=,Z+kLBsoeMLAMQAtMP3QNoLTPe4QBmqKmdIkTz7i7WwA=,mQrqjRxb3PUldpD56AcZt1nl4BqdKuKlXjZae2nNXi0=,fMZmLg8vywnm51TrmRM4yIW54VSnOfmGTGYOvZUEgFY=,4Iwj4JGJYqSDZWuZtPrzjUuHNRvfk4EAXcVRCcj3vKg=,BxfeQPbH7Ffv2kQuDfZ0vO9X7Qu3hiTWukwa1Z7K7Gg=,QqWqDmftQmKFWxI/1kL5TR5JSMwrHwrFDyYngUHUivk=,dtdopnRM8g6KkMU5uIw7Us3R4h6i9PO4oiW8dl9a3Dk=,IlreYH4xesFz3gQtmKOpp2uy/Fvmipu+vRxlp60nYmw=
95,100,90921257,XPRpgtui7ZHy4CmM/TPKoF/jAX2cZcFPq9j4jQ16Vpc=,OuRZ5wu9T6qUtKfrgKchfiB8MdN917j+F/lX1BoDAKI=,lpaKSdQfvBI7zn8YBdHmEO02C1c/SANIxpDOndjtygA=,Pk7XaKGuMOqwhDPpt/lD5utdH4SnZqdb9u9i18jFdnI=,2bHqVxFLhU6JtQroDlPm88Ead7rkC9h/1RJdGTRm8Ro=,n7Uj0CbhoWggWG1QR7amSIaP4mUG9gNy2Ks1YAXpcmI=,emijxgCZx7jEky46txfF72lclFyx6t5snJeoeE+HLTc=,MbQdxXm40ILQeRpqp71pNiXje6cUaWlAjEtvc40Enxw=,KVXh3bS5FOOGxKIPGY9UR/atfWcWhWmvvS2uNGCRNSg=,inLTtMH5+GsS9ZAGPzOwavTI4yCwpJ++GT4Ozn0p0F0=,on0CIJBW/TKhlFT3s1rWQfoM3QBI79U3YdDrI07OFTc=,Np+N087FcaBJLwf1N/YP8y8/5G+GYMSXzpzAwEWHG88=,hlETvbcbwqWXgDWXk3K/Utx9ADnLzlTj4jMjtTilWCY=,VDv/KqhawVZ3aTdW8k3R7L7FYHxd+P6caGCs3W9vkc8=,Tg47V13LZhsB7Xrcx3OptBGskWzRFrN7bI03fIRTJqU=,GFPr5Fg73QalcO9JJUjfInLTuvjh48VJCp0C+XpiZVU=,WluZdL5jrvxwRslNIHdg6hiuMpFTLhnEFAycRYLWqpw=,UZR8S6v4S4hnci7wYIk33vagWH6z/pV/eBaCplfqHA0=,kWPWz9Etdquk5vBQ6z7j+m6Chot9DKWYtkaLmHChCR8=,VEh2EjskG0dWrEVSLRKnDcvH9ikYq8TRuGom8cX7I7I=,aOHupbv+gbZEPbN1uMB900NcK3G5wbkHoDP3m9NomhU=,kJCycDBs0HsWYT4vjX9CbZ7t/Ila1Kb1t66c8jNPsR4=,Pr7qT+0nwv1W0gDSj+mrRaC5mQC0hw4j8jIw++oqvNM=,MJkH4LuJAA5h3EiG3beUJJTziKT+CF1aDaApheSGdr8=,EpCDHMi2sOk2oDXkOFKAln7riWgNrfvZiJtSanzIyF8=,e3RnMo5KkC/1izQnekyyIcp8+77A0q+Uf6+77AI7KoM=,2LnUAhiAZoxZ9z6mV01b2RntQjKHzQut0MCuOKy2Hk8=,vxXKcybqZtPA3PCGD/EzmyafFxyCw7LlwGgQ7spaea8=,ZsNGxT3hbvzv7ayEjxjNSVw2wXcdsalkjAcpIErOZ6Y=,XfVki9ZEC/K7mITor5qN7R/vsXAFmAPcZhajFNzajG0=
60,100,70200702,RkmlCm4QH3PIhHXjYzVkmuOSlR3x28ZDBODApdiikJI=,ukBizFGnvLE0i/zUYPwm2nUWaI9TvOaa77Bsxt3qFCE=,cHKU/NKtYaazX68oUcY/WrumP+OTeiV9aC28lqb7g3U=,u5FzETg8xeeftoho1rTX/urtEmUvuHqRZrZ52P6+kdg=,H52+AFFjjgSENdsvGUvhxCqcm/UylFNXvVqo/6B5Z+s=,uHFi6f7PxvA3d7O6oJfUhJj9l77IxVwL54SW6SQl6dY=,Ee4v5m8Sv2zZfcTS9IO8OvhqQ/S2BLVKM+F/Xy5WNSA=,KH18mTrMX5CtqA2jhzm8wq6m8wGSYRxmTU8XhXDdVZo=,PjJlpJUJcO8RxKc7itTRuHywDwRKYzQg+1cafBt1Rq0=,tAtxWfacoJ14OUu+3aNV3kMU+KH0sia/OgXSz63ps9o=,4przSYg6+T+B1lCfL+rZISryDdz1Oyk1oWwmvZlSvQw=,fYTQ6eeD7M6eNQK0iWbYShYPlBsG7l77AQN/LJHy7QU=,qrkbL7iFNqsE+BpYoLVMy4LgAJuBejP2VGw9cxw4+tk=,6auA4YoSe6D44Bi2A9f+M8KlhUTv23CWMJArKgvrz2Y=,WdmDwoF/e/Fn2mhsXjafQXAs8KLESaba5uKWJnp4TR4=,MgHNXYTnmyBwyvyxGCnENOlGOsz58H+FIpTa3rq7avQ=,wrs2kRg4BO3SEx5CL2Yn/KjzT2xscjr7cYFg6rSakTE=,wxWxUD8Ls3AYMU/H6Br9BGp/59+xqKZaVY6ydiSUkq0=,QEUiAKWLzq+87qPvAlb/dDJMfJMv41L6t676KQBfHN0=,ZJzLasFQnnfFoFT97hlwRkb0lSMiPrA6Tj1FwoYj9TA=,53u65ROLP/1OhLMRMcp19l933OFYMjRf/f/mavdYYkw=,pAX+jE0OLe7ByHlCKgXGuIB76BkwE4BoXaZMuM9xij8=,f3waSxx9k+EiDHuKJWwlr4+NLhJcYJN4KHetRx0GfCw=,m7BSVSTltSPbGsAFfb+BdBrxuMUCfjVCY8tqOHMZ2lo=,dnd4mRBoNwk+Xqm0wddyn6IyUI0WsR1u0kemM13VwUs=,fxW08oLg4CyUZa/e0OiE90+Xh8A1MogJn6ykjNl9X7s=,NnX3dURYAoC4WeLdIUTjvJxKIciQAE64a0hM0gHg4Eg=,DpCsRF5Yag5JISQhMJdHmdTU6gsdrRAJY48yrbsO020=,xhCd+tHyn7SSeA/IlZkbLzzQW4oC5+LPdz643137QPY=,A0dFrhMN+icjgbKwm1zIzv2kwY520aGPOmSC8J4CLoo=
61,100,84907342,pHw0UXnA4yCWRtgmZJgz0au34D6M5P/YZI9B0DvlRVI=,lj27ZMnRuRVUYoijYEzT8ph/2trxqQm8q9kSS0ifQxI=,4ZVAvxYPWOBals5jD+gecOQXrac2ose/2QRrI+lD19w=,AxCA/aHewNysP94Jp3CffGdnibkDtOmBMgMSzAPVAm0=,8rBwlrAOrZLSmSylbkFCucCs8KRryiglLe46umUu/To=,MvLkMQj9iPTh1hxPQfmOfyODkonT3IapN5F6CEYkjL8=,MIhhKTUl4PPxn4ZosizE1E2czonqDLbUFJcenbzwjeE=,6Ef+SZIEc+FiLHkOGsTWq5+uMLjKG3Ny7fH5t1Obmdc=,hPabsVVPcwOhqlJYGMhdpjpO0mfA0YpTexV6q1LyJQs=,px6vfqnK8u05t1YtQd6Jftr4UWcP9CxmQCPiB8IWGdM=,J8hmI3PRYhO29gAtFaY0EaGKJQ42iXIQYowtW3ewRMQ=,kM/rlRK6fK64nm+jHCUc5jsmEL9DhxqNgEAWQbw4nJ4=,6vmRN0h75IDQGoAP+KLblmz7zJLhGkIH13uWhpCiZq0=,MrbOLiyF9ouH+4IEqdLYDT9b3oBeFKSp71ITDaelb6I=,30hawlK4dEh3BSATpX5AX9K4O1q/v7P3GJCwcJt9IzA=,vU+qvg2u8EhgDxnD0d+1jiUidweZ3wQXAYI1/G3k+M8=,qLPPsW5zP9l4tM/t/lekiBOH/M4b7X4WASTQD1BFzOY=,+jfqQ+70DYKtTNSIsJrp7J887XVo9On9baqkAoqqDMA=,D/vEEJZkF9w6dWd/mxrcLuVzmLFRrFS9VmnHgqWS3LA=,PG8lTDFviG94sVChDI2hSUHyPiqqiGv0lGDbpAjmnCo=,9RSnWo77re7Ps23jYco73yRMw5hdgb9yNPWuxeHg0D4=,mj/I9banEBoieMc0NWUrxddhFFwPL7yv5Ub1Q4Ig1gk=,/YA1fwuTtU0zQTQss617VzjPkMRUY+qdKn9kRqJYCVA=,sDG2IzOf9ByAoNWqR1TB80DoosJHXgjhc6kyPUkijtE=,S4HLg9ZCmXa2c3TvTdhjLKeLKRP8cgtUw0lLRXmKvbM=,g2q0ePIJDk1eemCCBewW4b/bJNLCL/HccRK+vOyAdLk=,cPbn4U/0S2h5O8vI1du8lhFAzcPT2rNt4cDboIKiGIM=,o/BH0fUBxk/NuRkmxmUzaY2yI+VCvZ79frZ7aoukAJg=,gumFgYB/Sgv/DdohhvzB6haWjDk8t95OLKS6KG+YktQ=,ztEOoNWazbJ6LXEhsU9EdKvetvLoKfGRO/+Dwqi6dPE=
62,100,60147086,z47UNBTHjw9dcWHHaQ2UeufV2hEmqYEueqIBgA5fAJk=,OPf71DuXhNTlNcJ1qyg0nKJOLDZcRq7NkvXYiCLcJ90=,7oy5GmuJva1nv7x9H3dXM4LSyRaqIFBze1MifjlIX1w=,v7kbli2OpN/vbyHeR5MFGWtBmsZ/sAm2kahTdmUscBc=,crOFyUZlDvocV5eghVFZefM+wsuzaGrEYhON1fhZHcc=,30/C4HG4cKVxL+zfRPzel9CqWSCJ8jkl9okI7lW72fg=,CaKp6DLK5Tow1/GizrkRdWmCOUm7U0RcT/odVGAnnxU=,qQNNiEGh7iZ9pZHiIjO7u8NDzWof1b8f4pjyZOXq358=,9985zuuiIOxn4KT/YfCi+7NGREEF7rBLbFho73RBfrg=,DZwErqDaEbRXURO/xHyxCBH6lNWAelq5+GhCqqSgSNo=,LQV/+4W8tYpAvRfHh24rRFKeXgDTwmUf129sx2dAI9g=,4FwZTdWna4051P5iUyUzufWLp3cDkIiNziTRzix+k2k=,NL8luqfftkNtL+HXbzNfp2bYwwe4bDz1EikXbYScKXk=,f6B/rfHwip/9CMTdpaqW6JUPBbZa+skSrBJjkHjs2r4=,FzkGgr7YzMGFRPdjaFNbuZxFTJIDlnk3j8ZGFBZKv4E=,IDvt+APMx+T709gIfl2K9Cn6nVxtWmw6b6Y/IB6zO5o=,PzADbUMNYHUDirypK4C4+n9QpWSZa5PJPW5VZbANyKI=,CX4dDPdeN5BH8VvQKYQTuoneFrWeFYrovb6zt4Die7I=,zvjMjdAM6DmhteC6Vf6FgG2ACnCvbuJNu0iY5f0aXiU=,NvluDU7V5e2A+oVcu9NWpsRNQiN9229Bj18EWYMnc2Y=,SagP7dvaCg1FHnMY5x4s+KAsqMHS3k7ybjPYAbfNcAE=,1L8F/n+/sa964UpsYppy7rVOLNloEQfyFpuXoQfPiMo=,wpneOsWmBqDucmqr0uMzXLS937vJs5N8vq2E1mm3qtQ=,OjF+I6svsE5S5hCLyhVfbZywha/SgJSLPTMOVV3FuXk=,/EeMzjphav7p4zky1O5uWVk5U7wf8RhC1rNX6pekf/Y=,KS3+UtJEtD/zMs82vyZeyWJaEj6uzIj8OZzej8K22rc=,gZRmnjsdyk32q4ck6ku4tKCRRd4YM8p2/4L5u2zbGvw=,iRshwaMfy2wZNy/lyOAlejoJYFcU3WgGxPNP3VmxR6A=,SikitChbBfuiL6cFcrjfcAe/xhW4/8kir21XRQ/dp6A=,pbGFpyQacclZciy9nafyRi4TPkBQagarPFAKbopz3dE=
63,100,56023299,V2zj/22Gj88HHfOFDLkvJI78Q34UoMG38Rpom1kacak=,aVKznNraSSQMf7xzTBpwxOuhWa0tABimPrFDEY8e2f0=,hg1xQoXQrd6p81brvqzECyvgdkQ0bAARhvmIsQlelbI=,qonc6YlpZVODfGW0wi9bYNgZKwr+Oc2zVb1c50AmNwo=,UAy0XETNtEQMDsqDPauJJwTwu0pyvTvENcPfrjUcH6M=,8Dc7TkY2bYME2+5J3wQTiZAfbECK8IN1uwQEN0BxBHE=,O8wth7V4+9jSzCgJv1wdbJFUt2qJyQnYBNHjb5HkDu0=,tHsIhSy2l+BtB4kldz7Men0lm0jXkHYMxj6mLvpZ5CE=,PTbZYztrtDpW3OTrbhr4n+GW5Z5kVT6PRwVQ4rqvvUk=,DB/CRZcdpMjE82VAhQKl6B891P+TPol5eijv8IIHIFk=,TxGq4qjFesKvcoIn5qwEPlYwL8/+Gos3kkHiTPnT+Do=,PB0A+KfxPW9MV6A4UneimBrI/ZrAgvrsMUSRVTH+aQk=,N8SqqZCwcjG4gWcyWGEpD9QPaJVkYLEXWYcpdVj/Lbo=,aSvdM0457KproF+V9IiKNthnAbpCqy9NQl4l7WR8+sI=,UP5fxhkmGwqBt036thQzM2EzbTK1GxPcTz0K4JllBss=,/KBrdAIdRQSTXUvoA3ZxL/XQHSdhN1qjKUcJ+XT5bBM=,P3Th4luaki3miZT5MTek7d8qCHtCKjS3QrAw6zZ9lng=,f3MV1UMwO2hoezgrAFcAWCldAfQeq48gqWznBR2lOSE=,9aa+ffENzmzrbtU3h1ZOQwCvfEpipaMub6KlyM2yETI=,xayzRz/8gDzySPkwuIIqBtnnR+MnHKhZASqFKYD9NAE=,EmGKE8hnUP/hhD/XuGnhJyWsgmOB9IamKuxQwZndrFo=,AGmLd9qb17HHGfJapuvIyGJT8OQ0L42/7t1gYC763/E=,FDF353KB7sZfzl9WZaQtfwhbKIn2aRwMWxOAZgup1JM=,IXm+n3N2esZFDzlUCndN/pKUAdNjac4Cp3SyCc2V5Qs=,oJAaxmy87jHSx62LKSSebtOqibiPju9gIPjk8UCA7mU=,lDP6iKUXw4GMF3o9lonjF+Zb2ZdYlAoWVB6WBZFKz1c=,OFWrKFHyLp8ZYP+QlTfArsainQPynPdolXcUF6VMWDs=,Lf6/6y/LpXwCuqlGLM0DenVCSg286FVPLs5JfPVWfIU=,rxo/qUG+tMLUzF6b+JPC0f0tYZAERf80SkcpYVq+vtE=,XX+i/0vDghHl0DuyRK1VwNXsEP11ESj1h1TSVU/eO0U=
